我的,my
名字,name
是,is
name is,name's
时钟,clock
我,I
是,am
I am,I'm
好的，令人愉快的,nice
to,to
相逢，遇见,meet
你，你们,you
什么,what
What is,What's
你的，你们的,your
喂,Hello
嗨,Hi
他的,his
而且，和，又,and
她的,her
问题,question
回答,answer
看，看起来,look
第一,first
名字,first name
最后的，上一个的,last
姓氏,last name
男孩,boy
女孩,girl
零,zero
一,one
二,two
三,three
四,four
五,five
六,six
七,seven
八,eight
九,nine
电话,telephone
数字,number
电话号码,telephone number
电话,phone
电话号码,phone number
它,it
It is,It's
卡 卡片,card
身份证,ID card
家，家庭,family
姓氏,family name
这，这个,this
铅笔,pencil
钢笔,pen
书,book
橡皮，黑板擦,eraser
尺，直尺,ruler
箱，盒,case
文具盒,pencil case
双肩背包,backpack
铅笔刀,pencil sharpener
词典，字典,dictionary
那，那个,that
是（表示肯定）,yes
不是（表示否定）,no
不是（构成否定形式）,not
is not,isn't
原谅，宽恕,excuse
请原谅（客套语）,excuse me
感谢,thank
好，不错,OK
用（表示方法）,in
英语，英文,English
一个,a
多么，怎样（表程度）,how
做，干,do
拼写,spell
棒球,baseball
手表,watch
电脑，电子计算机,computer
游戏,game
电子游戏,computer game
钥匙,key
笔记本,note book
环，戒指,ring
打电话,call
在……附近，以,at
在……里面,in
人，物（表示特指，定冠词）,the
遗失,lost
找回,found
失物招领,lost and found
请（客套语）,please
学校,school
一套，一副,a set
…… 的（属于）,of
姐/妹,sister
妈妈，母亲,mother
爸爸，父亲,father
父亲/母亲,parent
兄/弟,brother
祖母，外祖母,grandmother
祖父，外祖父,grandfather
朋友,friend
祖父/母,grandparent
那些,those
是,are
That is,That's
这些,these
她,she
他,he
he is,he's
姨，姑，婶，舅母,aunt
儿子,son
堂（表）兄弟，堂（表）姐妹,cousin
女儿,daughter
叔，伯，舅，姨夫，姑父,uncle
图画，照片,picture
亲爱的,dear
为了（表目的或原因）,for
为…而感谢,thanks for
相片，照片,photo
这里,here
在哪里,where
Where is,Where is
桌子,table
床,bed
梳妆台,dresser
书橱，书柜,bookcase
沙发,sofa
椅子,chair
抽屉,drawer
植物,plant
在…下方,under
他们/她们/它们,they
They are,They're
在…上,on
do not,don't
知道，了解,know
书包，提包，袋子,bag
数学,math
闹钟,alarm clock
光盘,CD（compact disk）
录像，视频,video
录音带,video tape
帽子,hat
拿走，带走,take
东西，物,thing
朝，向，至，达,to
妈妈（非正式用语）,mom
能，可以，会,can
拿来，取来，带来,bring
一些，若干,some
需要,need
地板，地面,floor
房间,room
电视，电视机,TV（Television）
书桌，课桌,desk
有,have
英式足球,soccer
球,ball
英式足球,soccer ball
网球,tennis
球拍（羽毛球，网球等）,racket
网球拍,tennis racket
乒乓球,Ping-pong
排球,volleyball
篮球,basketball
球拍（乒乓球等的）,bat
do的第三人称单数形式,does
does not,doesn't
允许，让,let
我们（宾格）,us
Let us,let's
玩，打球,play
good（相关副词）,well
听起来,sound
良好的,good
运动,sport
我们（主格）,we
大量的,many
社团，俱乐部,club
更多的，更大的,more
班级（一节课）,class
有趣的，令人感兴趣的,interesting
无聊的，令人生厌的,boring
有趣的，令人愉快的,fun
困难的,difficult
轻松的,relaxing
观看，注视,watch
看电视,watch TV
有（单三）,has
美妙的，大的,great
收藏品，收集品,collection
但是,but
参加体育运动/比赛,play sports
只，仅仅,only
他们（宾格）,them
每一，每个,every
天，日间,day
喜欢,like
香蕉,banana
汉堡包,hamburger
西红柿,tomato
花椰菜,broccoli
薯条,french fries
橙子,orange
冰,ice
奶油,cream
冰激凌,ice cream
沙拉,salad
草莓,strawberry
梨,pear
吃，饮,drink
啊（表惊讶）,oh
可数名词,countable noun
不可数名词,uncountable noun
食物,food
鸡蛋,egg
苹果,apple
胡萝卜,carrot
鸡肉,chicken
早餐,breakfast
午餐,lunch
晚餐,dinner
水果,fruit
蔬菜，植物,vegetable
奔跑者,runner
吃,eat
好，对,well
跑，奔跑,run
星星，明星,star
许多，很多,lot
大量，许多,lots of
健康的，强健的,healthy
甜食（饭后的）,dessert
清单,list
家具,furniture
人，人名,people
一个（元音前）,an
空白,blank
交谈，谈话,conversation
另外的人，物,other
也，并且,also
多少（价钱）,how much
裤子（复数）,pants
短袜,sock
男衬衣,shirt
T恤衫,T-shirt
短裤（复数）,shorts
毛衣,sweater
鞋,shoe
裙子,skirt
出售，廉价销售,sale
美元,dollar
色，颜色,color（colour）
黑色,black
白色,white
红色,red
绿色,green
蓝色,blue
黄色,yellow
大的，重大的,big
小的,small
短的,short
长的,long
职员，办事员,clerk
帮助,help
想要，需要,want
给你,Here you are.
不必客气的,welcome
不客气,You are welcome.
